Period,Big_Small
20250512100050186,1
20250512100050186,1
20250512100050187,0
20250512100050187,0
20250512100050188,1
20250512100050188,1
20250512100050189,1
20250512100050189,1
20250512100050190,0
20250512100050190,0
20250512100050191,0
20250512100050191,0
20250512100050192,0
20250512100050193,1
20250512100050194,0
20250512100050195,0
20250512100050196,1
20250512100050197,1
20250512100050198,1
20250512100050199,1
20250512100050200,0
20250512100050201,0
20250512100050202,0
20250512100050203,0
20250512100050204,0
20250512100050205,0
20250512100050206,0
20250512100050207,0
20250512100050208,1
20250512100050209,1
20250512100050210,1
20250512100050211,0
20250512100050212,0
20250512100050213,1
20250512100050214,0
20250512100050215,1
20250512100050216,0
20250512100050217,1
20250512100050218,0
20250512100050219,1
20250512100050220,0
20250512100050221,0
20250512100050222,1
20250512100050222,1
20250512100050223,0
20250512100050223,0
20250512100050224,0
20250512100050224,0
20250512100050225,1
20250512100050225,1
20250512100050226,0
20250512100050226,0
20250512100050227,0
20250512100050227,0
20250512100050228,0
20250512100050228,0
20250512100050229,1
20250512100050229,1
20250512100050230,0
20250512100050230,0
20250512100050231,0
20250512100050231,0
20250512100050231,0
20250512100050232,1
20250512100050233,0
20250512100050234,1
20250512100050235,0
20250512100050236,0
20250512100050237,1
20250512100050238,1
20250512100050239,1
20250512100050240,0
20250512100050241,0
20250512100050242,0
20250512100050243,1
20250512100050244,0
20250512100050245,0
20250512100050246,1
20250512100050247,1
20250512100050248,1
20250512100050249,1
20250512100050250,0
20250512100050251,1
20250512100050252,1
20250512100050253,0
20250512100050254,1
20250512100050255,0
20250512100050256,0
20250512100050257,0
20250512100050258,1
20250512100050259,0
20250512100050260,1
20250512100050261,1
20250512100050262,1
20250512100050263,1
20250512100050264,0
20250512100050265,0
20250512100050266,1
20250512100050267,0
20250512100050268,1
20250512100050269,1
20250512100050270,0
20250512100050271,0
20250512100050272,1
20250512100050273,0
20250512100050274,1
20250512100050275,0
20250512100050276,1
20250512100050277,1
20250512100050278,0
20250512100050279,1
20250512100050280,1
20250512100050281,1
20250512100050282,0
20250512100050283,0
20250512100050284,1
20250512100050285,1
20250512100050286,1
20250512100050287,0
20250512100050288,0
20250512100050289,0
20250512100050290,1
20250512100050291,1
20250512100050292,0
20250512100050293,0
20250512100050294,0
20250512100050295,0
20250512100050296,0
20250512100050297,1
20250512100050298,1
20250512100050299,1
20250512100050300,0
20250512100050301,0
20250512100050302,0
20250512100050303,1
20250512100050304,0
20250512100050305,0
20250512100050306,1
20250512100050307,0
20250512100050308,1
20250512100050309,1
20250512100050310,0
20250512100050311,1
20250512100050312,1
20250512100050313,0
20250512100050314,0
20250512100050315,1
20250512100050316,1
20250512100050317,0
20250512100050318,0
